geometry,id
POINT (-70.70500000000001 -33.45500000000001),0
POINT (-70.655 -33.425),1
POINT (-70.68499999999999 -33.485),2
POINT (-70.70500000000001 -33.44500000000001),3
POINT (-70.68499999999999 -33.455),4
POINT (-70.63499999999999 -33.455),5
POINT (-70.69499999999999 -33.455),6
POINT (-70.69499999999999 -33.47500000000001),7
POINT (-70.61499999999999 -33.545),8
POINT (-70.61499999999999 -33.515),9
POINT (-70.655 -33.44500000000001),10
POINT (-70.645 -33.515),11
POINT (-70.645 -33.47500000000001),12
POINT (-70.63499999999999 -33.545),13
POINT (-70.63499999999999 -33.465),14
POINT (-70.59499999999998 -33.515),15
POINT (-70.69499999999999 -33.53499999999999),16
POINT (-70.715 -33.37499999999999),17
POINT (-70.675 -33.41500000000001),18
POINT (-70.66500000000001 -33.465),19
POINT (-70.655 -33.455),20
POINT (-70.66500000000001 -33.44500000000001),21
POINT (-70.645 -33.44500000000001),22
POINT (-70.785 -33.505),23
POINT (-70.745 -33.365),24
POINT (-70.655 -33.415),25
POINT (-70.565 -33.515),26
POINT (-70.70500000000001 -33.465),27
POINT (-70.69499999999999 -33.44500000000001),28
POINT (-70.68499999999999 -33.425),29
POINT (-70.675 -33.44500000000001),30
POINT (-70.675 -33.55500000000001),31
POINT (-70.66500000000001 -33.545),32
POINT (-70.645 -33.495),33
POINT (-70.66500000000001 -33.51500000000001),34
POINT (-70.68499999999999 -33.43500000000001),35
POINT (-70.60499999999999 -33.51500000000001),36
POINT (-70.675 -33.45500000000001),37
POINT (-70.63499999999999 -33.51500000000001),38
POINT (-70.645 -33.485),39
POINT (-70.655 -33.43500000000001),40
POINT (-70.70500000000001 -33.595),41
POINT (-70.70500000000001 -33.58499999999999),42
POINT (-70.645 -33.45500000000001),43
POINT (-70.625 -33.47500000000001),44
POINT (-70.645 -33.505),45
POINT (-70.77500000000001 -33.52500000000001),46
POINT (-70.575 -33.40500000000001),47
POINT (-70.61499999999998 -33.495),48
POINT (-70.645 -33.465),49
POINT (-70.59499999999998 -33.58499999999999),50
POINT (-70.655 -33.485),51
POINT (-70.47500000000001 -33.53499999999999),52
POINT (-70.66500000000001 -33.43500000000001),53
POINT (-70.655 -33.51500000000001),54
POINT (-70.63499999999999 -33.43500000000001),55
POINT (-70.63499999999999 -33.52500000000001),56
POINT (-70.55499999999999 -33.51500000000001),57
POINT (-70.655 -33.465),58
POINT (-70.675 -33.425),59
POINT (-70.66500000000001 -33.455),60
POINT (-70.68499999999999 -33.49500000000001),61
POINT (-70.66500000000001 -33.415),62
POINT (-70.675 -33.525),63
POINT (-70.655 -33.505),64
POINT (-70.595 -33.525),65
POINT (-70.63499999999999 -33.44500000000001),66
POINT (-70.645 -33.525),67
POINT (-70.655 -33.47500000000001),68
POINT (-70.66500000000001 -33.53499999999999),69
POINT (-70.68499999999999 -33.465),70
POINT (-70.66500000000001 -33.40500000000001),71
POINT (-70.535 -33.44500000000001),72
POINT (-70.70500000000001 -33.575),73
POINT (-70.57499999999999 -33.44500000000001),74
POINT (-70.67499999999998 -33.47500000000001),75
POINT (-70.68499999999999 -33.53499999999999),76
POINT (-70.69499999999999 -33.43500000000001),77
POINT (-70.655 -33.545),78
POINT (-70.58500000000001 -33.565),79
POINT (-70.57499999999999 -33.415),80
POINT (-70.74499999999999 -33.37499999999999),81
POINT (-70.68499999999999 -33.44500000000001),82
POINT (-70.58500000000001 -33.52500000000001),83
POINT (-70.56499999999998 -33.395),84
POINT (-70.645 -33.43500000000001),85
POINT (-70.69499999999999 -33.595),86
POINT (-70.77500000000001 -33.505),87
POINT (-70.605 -33.53499999999999),88
POINT (-70.67499999999998 -33.43500000000001),89
POINT (-70.795 -33.51500000000001),90
POINT (-70.755 -33.515),91
POINT (-70.675 -33.485),92
POINT (-70.77500000000001 -33.335),93
POINT (-70.625 -33.465),94
POINT (-70.61499999999999 -33.47500000000001),95
POINT (-70.61499999999999 -33.43500000000001),96
POINT (-70.63499999999999 -33.415),97
POINT (-70.655 -33.49500000000001),98
POINT (-70.61499999999998 -33.395),99
POINT (-70.655 -33.40500000000001),100
POINT (-70.66500000000001 -33.505),101
POINT (-70.59499999999998 -33.47500000000001),102
POINT (-70.58500000000001 -33.505),103
POINT (-70.605 -33.575),104
POINT (-70.55499999999999 -33.52500000000001),105
POINT (-70.54499999999999 -33.465),106
POINT (-70.61499999999998 -33.485),107
POINT (-70.66500000000001 -33.49500000000001),108
POINT (-70.60499999999999 -33.43500000000001),109
POINT (-70.59499999999998 -33.43500000000001),110
POINT (-70.58500000000001 -33.455),111
POINT (-70.60499999999999 -33.47500000000001),112
POINT (-70.61499999999998 -33.505),113
POINT (-70.69499999999999 -33.575),114
POINT (-70.625 -33.455),115
POINT (-70.755 -33.365),116
POINT (-70.61499999999998 -33.425),117
POINT (-70.66500000000001 -33.485),118
POINT (-70.595 -33.485),119
POINT (-70.605 -33.455),120
POINT (-70.66500000000001 -33.395),121
POINT (-70.645 -33.425),122
POINT (-70.535 -33.58499999999999),123
POINT (-70.68499999999999 -33.415),124
POINT (-70.595 -33.45500000000001),125
POINT (-70.605 -33.415),126
POINT (-70.755 -33.485),127
POINT (-70.63499999999999 -33.485),128
POINT (-70.57499999999999 -33.455),129
POINT (-70.605 -33.485),130
POINT (-70.63499999999999 -33.47500000000001),131
POINT (-70.755 -33.47500000000001),132
POINT (-70.595 -33.395),133
POINT (-70.60499999999999 -33.545),134
POINT (-70.61499999999998 -33.44500000000001),135
POINT (-70.66500000000001 -33.47500000000001),136
POINT (-70.57499999999999 -33.53499999999999),137
POINT (-70.58500000000001 -33.55500000000001),138
POINT (-70.58500000000001 -33.43500000000001),139
POINT (-70.605 -33.425),140
POINT (-70.605 -33.465),141
POINT (-70.565 -33.43500000000001),142
POINT (-70.735 -33.45500000000001),143
POINT (-70.72499999999999 -33.505),144
POINT (-70.77500000000001 -33.53499999999999),145
POINT (-70.57499999999999 -33.485),146
POINT (-70.58500000000001 -33.37499999999999),147
POINT (-70.63499999999999 -33.425),148
POINT (-70.625 -33.395),149
POINT (-70.72499999999999 -33.37499999999999),150
POINT (-70.655 -33.52500000000001),151
POINT (-70.655 -33.55500000000001),152
POINT (-70.595 -33.505),153
POINT (-70.55499999999999 -33.53499999999999),154
POINT (-70.735 -33.47500000000001),155
POINT (-70.625 -33.545),156
POINT (-70.58500000000001 -33.51500000000001),157
POINT (-70.625 -33.44500000000001),158
POINT (-70.70500000000001 -33.365),159
POINT (-70.645 -33.395),160
POINT (-70.68499999999999 -33.545),161
POINT (-70.605 -33.52500000000001),162
POINT (-70.61499999999998 -33.45500000000001),163
POINT (-70.56499999999998 -33.575),164
POINT (-70.595 -33.465),165
POINT (-70.735 -33.375),166
POINT (-70.58500000000001 -33.585),167
POINT (-70.605 -33.505),168
POINT (-70.595 -33.55500000000001),169
POINT (-70.66500000000001 -33.425),170
POINT (-70.55499999999999 -33.55500000000001),171
POINT (-70.76499999999997 -33.52500000000001),172
POINT (-70.61499999999998 -33.525),173
POINT (-70.58500000000001 -33.47500000000001),174
POINT (-70.70500000000001 -33.335),175
POINT (-70.74499999999999 -33.49500000000001),176
POINT (-70.72499999999999 -33.455),177
POINT (-70.74499999999999 -33.355),178
POINT (-70.55499999999999 -33.545),179
POINT (-70.645 -33.41500000000001),180
POINT (-70.58500000000001 -33.485),181
POINT (-70.645 -33.405),182
POINT (-70.58500000000001 -33.545),183
POINT (-70.735 -33.485),184
POINT (-70.595 -33.41500000000001),185
POINT (-70.595 -33.495),186
POINT (-70.58500000000001 -33.465),187
POINT (-70.755 -33.325),188
POINT (-70.76499999999999 -33.51500000000001),189
POINT (-70.54499999999999 -33.565),190
POINT (-70.68499999999999 -33.595),191
POINT (-70.625 -33.485),192
POINT (-70.72499999999999 -33.38500000000001),193
POINT (-70.535 -33.55500000000001),194
POINT (-70.755 -33.525),195
POINT (-70.595 -33.575),196
POINT (-70.76499999999997 -33.455),197
POINT (-70.795 -33.565),198
POINT (-70.655 -33.53499999999999),199
POINT (-70.745 -33.43500000000001),200
POINT (-70.54499999999999 -33.505),201
POINT (-70.68499999999999 -33.355),202
POINT (-70.72499999999999 -33.44500000000001),203
POINT (-70.675 -33.535),204
POINT (-70.605 -33.565),205
POINT (-70.69499999999999 -33.425),206
POINT (-70.76499999999997 -33.505),207
POINT (-70.51499999999999 -33.365),208
POINT (-70.68499999999999 -33.585),209
POINT (-70.68499999999999 -33.40500000000001),210
POINT (-70.755 -33.395),211
POINT (-70.76499999999997 -33.44500000000001),212
POINT (-70.69499999999999 -33.465),213
POINT (-70.66500000000001 -33.52500000000001),214
POINT (-70.70500000000001 -33.405),215
POINT (-70.71499999999999 -33.43500000000001),216
POINT (-70.60499999999999 -33.585),217
POINT (-70.645 -33.545),218
POINT (-70.70500000000001 -33.485),219
POINT (-70.55499999999999 -33.425),220
POINT (-70.785 -33.595),221
POINT (-70.755 -33.44500000000001),222
POINT (-70.67499999999998 -33.545),223
POINT (-70.735 -33.355),224
POINT (-70.755 -33.41500000000001),225
POINT (-70.535 -33.565),226
POINT (-70.67499999999998 -33.58499999999999),227
POINT (-70.605 -33.49500000000001),228
POINT (-70.625 -33.55500000000001),229
POINT (-70.57499999999999 -33.575),230
POINT (-70.595 -33.44500000000001),231
POINT (-70.76499999999997 -33.53499999999999),232
POINT (-70.70500000000001 -33.345),233
POINT (-70.71499999999999 -33.47500000000001),234
POINT (-70.67499999999998 -33.405),235
POINT (-70.715 -33.355),236
POINT (-70.645 -33.385),237
POINT (-70.715 -33.595),238
POINT (-70.63499999999999 -33.49500000000001),239
POINT (-70.755 -33.43500000000001),240
POINT (-70.63499999999999 -33.40500000000001),241
POINT (-70.785 -33.525),242
POINT (-70.61499999999998 -33.55500000000001),243
POINT (-70.755 -33.505),244
POINT (-70.71499999999999 -33.365),245
POINT (-70.54499999999999 -33.38500000000001),246
POINT (-70.72499999999999 -33.465),247
POINT (-70.57499999999999 -33.465),248
POINT (-70.70500000000001 -33.325),249
POINT (-70.77500000000001 -33.485),250
POINT (-70.57499999999999 -33.565),251
POINT (-70.56499999999998 -33.525),252
POINT (-70.76499999999999 -33.43500000000001),253
POINT (-70.68499999999999 -33.38500000000001),254
POINT (-70.645 -33.565),255
POINT (-70.54499999999999 -33.53499999999999),256
POINT (-70.755 -33.495),257
POINT (-70.795 -33.55500000000001),258
POINT (-70.58500000000001 -33.49500000000001),259
POINT (-70.78500000000001 -33.545),260
POINT (-70.675 -33.395),261
POINT (-70.625 -33.425),262
POINT (-70.72499999999999 -33.335),263
POINT (-70.69499999999999 -33.52500000000001),264
POINT (-70.58500000000001 -33.40500000000001),265
POINT (-70.625 -33.51500000000001),266
POINT (-70.675 -33.465),267
POINT (-70.77500000000001 -33.51500000000001),268
POINT (-70.56499999999998 -33.41500000000001),269
POINT (-70.57499999999999 -33.505),270
POINT (-70.55499999999999 -33.38500000000001),271
POINT (-70.74499999999999 -33.325),272
POINT (-70.72499999999999 -33.365),273
POINT (-70.63499999999999 -33.55500000000001),274
POINT (-70.77500000000001 -33.425),275
POINT (-70.50500000000001 -33.385),276
POINT (-70.535 -33.43500000000001),277
